JobRole,CategoryLabel,Skills,JobDescription
QA / Test Engineering,technology_engineering,"software testing; manual testing; test case design; test planning; regression testing; integration testing; system testing; API testing; selenium; cypress; playwright; junit; pytest; bug tracking; jira; test automation; CI/CD integration; performance testing; load testing; test reporting; quality metrics","Ensures software quality by designing and executing tests across different levels and platforms. Identifies, documents, and tracks defects and works with developers to resolve them. Builds automated test suites to increase coverage and reduce manual effort. Participates in requirement reviews to clarify acceptance criteria and edge cases. Contributes to continuous improvement of testing processes and quality standards across the team."
UI/UX Design,technology_engineering,"user research; interviews; surveys; personas; user journeys; information architecture; wireframing; prototyping; Figma; Adobe XD; usability testing; interaction design; design systems; visual design; typography; color theory; accessibility; responsive design; design documentation; stakeholder workshops","Designs intuitive and engaging digital experiences based on user needs and business goals. Conducts research to understand behaviors, pain points, and expectations of different user segments. Creates user flows, wireframes, and interactive prototypes to communicate and validate concepts. Collaborates with product managers and engineers to refine designs and guide implementation. Ensures usability, accessibility, and visual consistency across platforms and devices."
Product Management (Tech),technology_engineering,"product strategy; roadmap planning; requirements gathering; user stories; backlog management; prioritization; stakeholder communication; market research; competitive analysis; data driven decision making; A/B testing; KPI definition; agile methodologies; sprint planning; release management; go to market coordination; user feedback analysis","Defines product vision and strategy and ensures successful delivery of features that create value for users and the business. Gathers and prioritizes requirements from stakeholders, customers, and market research. Maintains and prioritizes the product backlog and aligns cross functional teams around clear goals. Tracks key metrics to evaluate feature impact and iterates based on data and feedback. Coordinates launches and communicates progress and decisions transparently."
Embedded Systems / IoT,technology_engineering,"c programming; c++; microcontrollers; ARM; AVR; PIC; RTOS; real time programming; hardware debugging; oscilloscopes; logic analyzers; UART; SPI; I2C; CAN bus; sensors; actuators; low power design; firmware development; embedded linux; IoT protocols; MQTT; CoAP; edge computing; security considerations","Develops firmware and software for devices with constrained computing, memory, and power. Interfaces with sensors, actuators, and communication modules to implement control and monitoring logic. Works closely with hardware engineers to bring up new boards and debug issues at the signal and protocol level. Designs real time or near real time systems with predictable behavior and reliability. Contributes to IoT solutions that connect devices securely to cloud services or gateways."
Blockchain / Web3,technology_engineering,"distributed systems; cryptography fundamentals; consensus algorithms; blockchain architecture; ethereum; solidity; smart contracts; web3.js; ethers.js; token standards; ERC20; ERC721; wallet integration; transaction lifecycle; gas optimization; security best practices; contract auditing; decentralized applications; DeFi concepts; NFT platforms","Designs and develops decentralized applications and smart contracts on blockchain platforms. Implements secure and efficient on chain logic that interacts with tokens, assets, and other protocols. Integrates wallets and blockchain nodes into web or mobile frontends. Analyzes transaction flows, gas usage, and potential security risks such as reentrancy or overflow. Keeps up with rapidly evolving ecosystems, standards, and tooling in the Web3 space."
Robotics & Automation,technology_engineering,"robot operating system ROS; c++; python; kinematics; dynamics; control systems; PID control; path planning; SLAM; sensor fusion; lidar; cameras; industrial robots; PLCs; motion planning; machine vision; embedded systems; automation frameworks; safety standards; simulation tools; gazebo","Builds robotic and automated systems that sense, decide, and act in physical environments. Develops software to control actuators and interpret sensor data for navigation, manipulation, or inspection tasks. Designs and tunes control loops and planning algorithms to achieve accurate and reliable performance. Integrates hardware, software, and safety systems into cohesive solutions for industrial or research settings. Tests and refines behavior using simulation and real world experiments."
Game Development,technology_engineering,"unity; unreal engine; C#; C++; gameplay programming; game physics; animation systems; AI for games; pathfinding; shaders; 2D graphics; 3D graphics; asset integration; scripting; performance optimization; profiling; level design collaboration; version control; build pipelines; platform deployment; console or mobile guidelines","Creates interactive games and simulations using game engines and custom tools. Implements gameplay mechanics, user interfaces, and visual effects that respond smoothly to player input. Works with designers, artists, and sound engineers to integrate assets and tune the overall experience. Optimizes performance to run well across different platforms and hardware constraints. Participates in playtesting and iteration to balance difficulty, engagement, and usability."
Data Science,data_ai,"python; R; pandas; numpy; data cleaning; feature engineering; statistics; probability; hypothesis testing; statistical modeling; regression; classification; clustering; time series analysis; machine learning algorithms; scikit learn; data visualization; matplotlib; seaborn; storytelling with data; SQL; experimentation; A/B testing; business understanding","Extracts insights and patterns from data to support strategic and operational decisions. Cleans, explores, and models data to answer questions or predict outcomes. Selects appropriate algorithms and evaluation metrics based on problem structure and constraints. Communicates findings through clear visualizations and narratives tailored to stakeholders. Collaborates with engineers and product teams to bring models into production and monitor their impact."
Machine Learning Engineering,data_ai,"python; pandas; numpy; scikit learn; tensorflow; pytorch; machine learning pipelines; feature engineering; model selection; hyperparameter tuning; cross validation; MLOps basics; model deployment; REST APIs; batch inference; real time inference; model monitoring; experiment tracking; MLflow; data versioning; reproducibility; performance optimization","Builds and deploys machine learning systems that integrate into products and services. Designs data pipelines, training workflows, and serving infrastructure to support scalable model usage. Evaluates and tunes models using systematic experimentation and monitoring in production. Works with data engineers and software engineers to align data, features, and interfaces. Ensures robustness, fairness, and maintainability of ML components over time."
Data Analytics,data_ai,"excel; spreadsheets; SQL; joins; aggregations; data cleaning; dashboards; business intelligence tools; power bi; tableau; google data studio; exploratory data analysis; descriptive statistics; KPI definition; reporting; data storytelling; stakeholder communication; basic scripting; python basics; presentation skills; domain knowledge","Analyzes structured data to produce reports, dashboards, and insights that guide business decisions. Transforms raw data into meaningful metrics and visualizations. Works closely with business stakeholders to understand questions and translate them into analytical tasks. Validates data quality and explains limitations and assumptions clearly. Builds repeatable reporting processes and contributes to a culture of data informed decision making."
Business Intelligence (BI),data_ai,"BI tools; power bi; tableau; looker; data warehousing; star schema; snowflake schema; ETL concepts; SQL; performance tuning; data modeling; KPI design; dashboard design; security and access control; documentation; stakeholder management; requirements gathering; metadata management","Designs and maintains business intelligence solutions that provide consistent and trusted metrics. Models data in warehouses or marts to support analytical queries and dashboards. Develops interactive reports that help different teams monitor performance and drill into details. Works with stakeholders to define KPIs, metrics, and access controls. Ensures BI platforms are performant, secure, and aligned with data governance practices."
Data Engineering,data_ai,"python; SQL; ETL pipelines; data ingestion; data transformation; batch processing; stream processing; apache spark; hadoop; kafka; airflow; orchestration; data warehousing; snowflake; redshift; bigquery; data lakes; parquet; schema design; data quality; monitoring; logging; version control","Builds and maintains data pipelines and storage systems that supply reliable data for analytics and machine learning. Ingests data from diverse sources, transforms it into consistent formats, and loads it into warehouses or lakes. Designs schemas and partitioning strategies for scalability and performance. Implements monitoring and alerting for pipeline health and data quality. Collaborates with analysts, scientists, and application teams to meet their data needs."
Artificial Intelligence Research,data_ai,"machine learning theory; deep learning; optimization; probability; linear algebra; research methods; literature review; experimentation; pytorch; tensorflow; custom architectures; reading scientific papers; writing scientific papers; reproducibility; benchmarking; data curation; open source contributions","Explores new algorithms, models, and approaches to advance the state of artificial intelligence. Conducts experiments to validate hypotheses and compare methods against baselines. Reads and synthesizes research literature and proposes novel contributions. Works with engineering teams to transfer research ideas into practical prototypes or products. Publishes results, releases code, and engages with the broader research community."
Deep Learning Engineering,data_ai,"neural networks; CNN; RNN; transformers; pytorch; tensorflow; keras; GPU acceleration; CUDA basics; large scale training; data augmentation; regularization; hyperparameter tuning; model compression; quantization; knowledge distillation; transfer learning; computer vision; NLP basics; experiment tracking","Designs, trains, and optimizes deep learning models for tasks such as vision, language, and recommendation. Prepares large datasets and selects architectures suited to the problem. Uses accelerators and distributed training techniques to handle scale. Evaluates and tunes models for accuracy, latency, and resource usage. Collaborates with product teams to integrate deep learning capabilities into applications."
NLP Engineering,data_ai,"text preprocessing; tokenization; embeddings; word2vec; GloVe; transformers; BERT family; sequence to sequence models; pytorch; tensorflow; spaCy; NLTK; huggingface transformers; information retrieval; text classification; named entity recognition; summarization; conversational AI; evaluation metrics; BLEU; ROUGE","Builds natural language processing systems that understand and generate human language. Cleans and encodes text data, selecting appropriate architectures and representations. Implements models for tasks like classification, extraction, translation, or dialogue. Evaluates performance using task specific metrics and error analysis. Works with product teams to embed NLP into search, chat, support, or content workflows."
Computer Vision Engineering,data_ai,"image processing; opencv; CNN; object detection; YOLO; Faster R CNN; segmentation; classification; pose estimation; video analytics; pytorch; tensorflow; data augmentation; annotation tools; camera calibration; evaluation metrics; mAP; deployment optimization; on device inference","Develops computer vision models and pipelines to interpret images and videos. Prepares and augments datasets with appropriate labels and transformations. Chooses and trains architectures for detection, recognition, or tracking tasks. Optimizes models for real time or resource constrained environments. Integrates vision components into larger systems such as robotics, safety, or analytics platforms."
MLOps Engineering,data_ai,"CI/CD for ML; ML pipelines; kubeflow; MLflow; model versioning; feature stores; data versioning; docker; kubernetes; monitoring; concept drift detection; model performance tracking; A/B testing; canary releases; automation; orchestration; airflow; terraform basics; cloud ML services","Operationalizes machine learning by building robust pipelines and infrastructure for training, deployment, and monitoring. Automates steps from data preparation to model serving. Implements tools to track experiments, versions, and lineage of models and datasets. Monitors models in production for performance, drift, and failures and coordinates retraining or rollback. Works with data scientists and engineers to make ML workflows repeatable and scalable."
Statistician / Statistical Modelling,data_ai,"probability theory; mathematical statistics; experimental design; sampling methods; survey design; regression modeling; generalized linear models; time series; survival analysis; multivariate analysis; R; SAS; python; hypothesis testing; confidence intervals; Bayesian methods; statistical reporting","Applies rigorous statistical methods to design studies and analyze data. Builds models that capture relationships and quantify uncertainty. Advises on sample sizes, randomization procedures, and bias control. Interprets results in context and communicates limitations clearly to non specialists. Contributes to decision making in areas such as clinical trials, economics, marketing, or policy."
Big Data Engineering,data_ai,"distributed systems; hadoop; HDFS; apache spark; hive; presto; kafka; flume; stream processing; flink; data partitioning; cluster management; yarn; resource tuning; data lake design; security; kerberos; schema evolution; performance optimization; monitoring; ETL at scale","Designs and operates data platforms that handle very large volumes and velocities of data. Implements distributed storage and processing frameworks that support analytics and machine learning. Optimizes jobs and queries for throughput and resource efficiency. Ensures data reliability, security, and governance across clusters and pipelines. Collaborates with other data teams to provide scalable foundations for their workloads."
Business Analysis,business_corporate,"requirements elicitation; stakeholder interviews; process mapping; BPMN; gap analysis; use cases; user stories; documentation; functional specifications; non functional requirements; SQL basics; data analysis; presentation skills; workshop facilitation; prioritization; change management; domain knowledge","Analyzes business processes, systems, and requirements to propose improvements and solutions. Engages stakeholders to understand their needs and translates them into clear specifications for technical teams. Documents current and future state workflows and identifies gaps and risks. Supports testing and validation of delivered solutions against requirements. Helps manage change and adoption by communicating benefits and gathering feedback."
Operations & Supply Chain,business_corporate,"supply chain management; logistics; inventory management; demand planning; procurement; ERP systems; SAP; data analysis; forecasting; vendor management; process optimization; lean principles; KPI tracking; warehouse operations; transportation planning; contract management","Manages and optimizes the flow of goods, information, and resources across the supply chain. Coordinates procurement, production, warehousing, and distribution to meet service levels at acceptable cost. Monitors inventory, forecasts demand, and works with suppliers and partners to ensure availability. Analyzes operational data to identify bottlenecks and opportunities for improvement. Implements process changes and systems to increase efficiency and resilience."
Project / Program Management,business_corporate,"project planning; work breakdown structures; scheduling; Gantt charts; resource management; risk management; RAID logs; budgeting; status reporting; stakeholder communication; agile; scrum; kanban; waterfall; change control; issue resolution; MS project; Jira; confluence","Plans and oversees projects or programs to deliver agreed outcomes within time, cost, and scope constraints. Defines objectives, milestones, and deliverables and organizes teams and resources to achieve them. Tracks progress, manages risks and issues, and communicates status to stakeholders. Facilitates decision making and conflict resolution across functions. Ensures lessons learned are captured and applied to future initiatives."
Sales & Business Development,business_corporate,"lead generation; prospecting; CRM tools; salesforce; hubspot; pipeline management; qualification; negotiation; presentation skills; proposal writing; relationship management; account management; market research; closing techniques; objection handling; revenue forecasting","Generates new business and grows existing accounts by understanding customer needs and offering suitable solutions. Builds and maintains relationships with prospects and clients through calls, meetings, and events. Manages a sales pipeline, prepares proposals, and negotiates terms to close deals. Collaborates with marketing, product, and delivery teams to align offerings with market demand. Tracks performance against targets and adjusts strategies accordingly."
Marketing (Digital / Traditional),business_corporate,"marketing strategy; segmentation; positioning; branding; copywriting; campaign planning; SEO; SEM; google ads; social media marketing; email marketing; content marketing; analytics; google analytics; A/B testing; customer journey mapping; media planning; offline campaigns; event marketing","Promotes products or services to target audiences through a mix of digital and traditional channels. Develops messaging and creative assets that communicate value propositions. Plans and executes campaigns, monitors performance metrics, and optimizes based on data. Coordinates with sales, product, and design teams to ensure consistent brand experience. Researches competitors and market trends to inform strategy and tactics."
HR & Recruitment,business_corporate,"talent acquisition; sourcing; job descriptions; screening; interviewing; ATS systems; onboarding; HR policies; employee relations; performance management; compensation basics; benefits administration; employment law basics; employer branding; training coordination; HR analytics; stakeholder communication","Manages the employee life cycle from hiring to exit. Works with hiring managers to define roles, source candidates, and run fair and effective selection processes. Coordinates onboarding and supports employees with HR related queries and processes. Contributes to policies, performance reviews, and engagement initiatives. Uses HR data to identify trends and support workforce planning and decision making."
Customer Success / Support,business_corporate,"customer communication; empathy; active listening; problem solving; ticketing systems; CRM tools; product knowledge; troubleshooting; onboarding assistance; account health monitoring; escalation management; documentation; feedback collection; upsell identification","Helps customers achieve desired outcomes with a product or service. Guides new users through onboarding and best practices, answers questions, and resolves issues. Monitors account health indicators and proactively addresses risks such as low adoption. Escalates complex problems to internal teams while keeping customers informed. Captures feedback and advocates for customer needs in product and process improvements."
Strategy / Management Consulting,business_corporate,"structured problem solving; hypothesis driven analysis; market research; financial modeling; excel; powerpoint; stakeholder interviews; benchmarking; competitive analysis; business cases; presentation skills; storytelling; project management; change management","Advises organizations on strategic questions such as growth, transformation, and operational improvement. Breaks down complex problems into manageable components and analyzes data to generate insights. Develops recommendations and builds business cases that consider risks and trade offs. Communicates findings clearly to senior stakeholders and helps them make informed decisions. Supports implementation by guiding change and tracking results."
Financial Analysis / Investment Banking,finance_accounting,"financial statements; income statement; balance sheet; cash flow; valuation; DCF; comparable company analysis; precedent transactions; excel modeling; scenario analysis; pitch books; powerpoint; market research; capital markets basics; mergers and acquisitions; deal execution support","Analyzes companies and transactions to support investment decisions, financing, or advisory services. Builds detailed financial models to project performance and value businesses under different scenarios. Prepares presentations and materials for clients and internal committees. Conducts industry and market research to inform deals and recommendations. Works under tight timelines while coordinating with multiple parties such as legal, tax, and senior bankers."
Accounting & Auditing,finance_accounting,"bookkeeping; general ledger; accounts payable; accounts receivable; reconciliations; financial reporting; IFRS; GAAP; tax basics; budgeting; variance analysis; audit procedures; internal controls; risk assessment; working papers; ERP systems; SAP; oracle finance","Maintains accurate financial records and prepares reports that reflect the financial position of the organization. Processes transactions, reconciles accounts, and ensures compliance with accounting standards and regulations. Participates in internal or external audits, testing controls and verifying balances. Identifies discrepancies or inefficiencies and recommends corrective actions. Supports management with financial information for planning and decision making."
Banking & Insurance,finance_accounting,"retail banking products; corporate banking basics; loans; deposits; credit analysis; risk assessment; underwriting; insurance products; policy administration; claims handling; customer service; regulatory awareness; KYC; AML; documentation; relationship management","Provides financial and insurance services to individuals or businesses. Advises customers on suitable products such as accounts, loans, or policies. Assesses creditworthiness and risk to make or support lending and underwriting decisions. Processes applications, transactions, and claims accurately and securely. Ensures compliance with regulations and internal policies while maintaining strong customer relationships."
Risk & Compliance,finance_accounting,"risk identification; risk assessment; risk registers; internal controls; regulatory requirements; compliance monitoring; policy development; incident reporting; audit support; data analysis; documentation; stakeholder training; reporting to regulators; governance frameworks","Identifies, assesses, and monitors risks across financial, operational, and compliance areas. Designs and evaluates controls and policies to reduce risk to acceptable levels. Conducts reviews and investigations into incidents or breaches and recommends remediation. Educates staff on compliance obligations and good practices. Prepares reports for management and regulators to demonstrate adherence to standards and laws."
FinTech Specialist,finance_accounting,"financial products; payments; digital wallets; lending platforms; APIs; PSD2 concepts; data security; encryption basics; KYC; AML; UX for finance; agile delivery; product management basics; SQL; analytics; regulatory awareness; partnership management","Works at the intersection of finance and technology to build or manage digital financial services. Understands banking or insurance products and how they can be delivered through modern user experiences and APIs. Collaborates with engineers to design secure and compliant systems that handle sensitive financial data. Analyzes usage and performance metrics to refine features and pricing. Engages with partners, regulators, and internal stakeholders to align innovation with risk and compliance requirements."
Graphic Design,creative_media,"visual design; branding; typography; color theory; layout; composition; adobe photoshop; adobe illustrator; adobe indesign; Figma; design systems; iconography; illustration; print design; digital design; mockups; asset exports; feedback incorporation; presentation of designs","Creates visual assets that communicate brand identity and messages across print and digital media. Designs logos, marketing materials, social posts, and other collateral following style guidelines. Balances aesthetics and clarity to support campaign goals and user needs. Collaborates with marketers, product teams, and copywriters to align visuals with content. Iterates based on feedback and prepares production ready files for different channels."
Content Writing / Editing,creative_media,"copywriting; long form writing; editing; proofreading; SEO basics; keyword research; headline writing; storytelling; tone of voice; research skills; content planning; blog writing; social media copy; email copy; style guides; CMS usage; wordpress; fact checking","Produces clear and engaging written content tailored to specific audiences and channels. Researches topics, structures information logically, and writes in an appropriate tone and style. Optimizes content for search engines where relevant while maintaining readability and value. Edits and proofreads drafts for grammar, consistency, and adherence to brand guidelines. Works with designers, marketers, and subject matter experts to deliver integrated campaigns and resources."
Advertising & Brand Strategy,creative_media,"brand positioning; brand architecture; customer segmentation; campaign strategy; creative briefs; messaging frameworks; channel planning; media buying basics; analytics; KPI tracking; competitor analysis; workshop facilitation; storytelling; presentation skills","Defines how a brand is perceived and how it communicates with its audiences. Develops positioning statements, messaging, and creative territories that guide campaigns and content. Translates business objectives into briefs for creative and media teams. Evaluates concepts and campaigns against strategic goals and audience insights. Monitors performance and adjusts strategy based on data and feedback from the market."
Photography / Videography,creative_media,"camera operation; exposure; composition; lighting; studio setups; location scouting; directing subjects; video shooting; audio capture; storyboarding; adobe photoshop; lightroom; premiere pro; davinci resolve; color correction; editing workflows; file management; delivery formats","Captures and edits images and videos for commercial, editorial, or internal use. Plans shoots by understanding objectives, locations, and required equipment. Directs subjects and controls lighting and composition to achieve desired aesthetics. Edits and post processes material to create polished deliverables. Works with creative directors, marketers, and clients to align visuals with narratives and brand guidelines."
Animation / VFX,creative_media,"2D animation; 3D animation; motion graphics; keyframing; rigging; compositing; adobe after effects; blender; cinema 4D; maya; particle systems; green screen; rotoscoping; rendering; storyboard collaboration; timing and pacing; sound synchronization","Creates animated and visual effects content for video, film, games, or digital campaigns. Designs motion sequences that enhance storytelling and viewer engagement. Combines live action footage with computer generated elements through compositing. Optimizes scenes and rendering settings to meet quality and deadline constraints. Collaborates with directors, editors, and sound designers in iterative production workflows."
UI/UX & Creative Tech Roles,creative_media,"interaction design; creative coding; WebGL basics; prototyping; Figma; design systems; UX research; usability testing; animation principles; front end basics; javascript; HTML; CSS; installation art tools; generative design; experiments; rapid prototyping; storytelling","Bridges design and technology to produce interactive and experimental digital experiences. Explores new tools and techniques such as creative coding, generative art, or immersive interfaces. Designs and prototypes interfaces that emphasize engagement, play, or emotion. Tests concepts with users to refine interactions and accessibility. Collaborates across disciplines such as art, engineering, and marketing to push creative boundaries."
Media & Communication,creative_media,"journalism basics; news writing; scripting; interviewing; editing; fact checking; public relations; press releases; media outreach; social media management; crisis communication; storytelling; presentation skills; content planning","Creates and manages information and stories for news, corporate, or public audiences. Researches and verifies facts, conducts interviews, and crafts narratives for different formats. Coordinates with media outlets, influencers, or internal channels to distribute messages. Monitors public response and adjusts communication strategies as needed. Ensures consistency of tone, accuracy, and alignment with organizational goals."
Medical & Nursing,healthcare_biosciences,"clinical knowledge; anatomy; physiology; patient assessment; vital signs; medication administration; infection control; documentation; electronic health records; bedside care; triage; communication; empathy; teamwork; basic life support; patient education; safety protocols","Provides direct care to patients in hospitals, clinics, or community settings. Assesses symptoms, monitors vital signs, and administers treatments under clinical guidelines. Documents observations and interventions accurately in health records. Coordinates with doctors, specialists, and allied professionals to deliver holistic care. Educates patients and families about conditions, medications, and self care while maintaining empathy and professionalism."
Pharmaceutical,healthcare_biosciences,"pharmacology; medicinal chemistry; formulation science; drug development process; GxP; good manufacturing practice; quality control; stability studies; regulatory affairs basics; clinical trial phases; documentation; lab techniques; HPLC; spectroscopy; data analysis","Works in the research, development, manufacturing, or regulation of medicines. Participates in designing and testing formulations to ensure safety, efficacy, and stability. Follows strict quality and documentation standards required by regulators. Collaborates with cross functional teams in R and D, production, quality, and marketing. Supports lifecycle management of products, including post market surveillance and improvements."
Biotechnology / Bioinformatics,healthcare_biosciences,"molecular biology; genetics; PCR; DNA extraction; sequencing technologies; cell culture; protein analysis; bioinformatics tools; BLAST; sequence alignment; Python or R; statistical analysis; data visualization; database querying; pipeline development","Combines biological experiments and computational analysis to study genes, proteins, and cellular processes. Designs and executes lab protocols or analyzes high throughput data from experiments. Uses specialized software and scripting to process, visualize, and interpret results. Collaborates with biologists, clinicians, and data scientists to answer scientific questions or develop applications. Documents methods and findings to support reproducibility and regulatory needs."
Clinical Research,healthcare_biosciences,"clinical trial design; protocol development; informed consent; GCP; good clinical practice; regulatory submissions; case report forms; patient recruitment; site management; data collection; adverse event reporting; monitoring visits; documentation; ethics committee interaction","Supports the planning and execution of clinical studies that test new therapies or interventions. Ensures trials follow ethical and regulatory standards and that participant safety is prioritized. Coordinates with investigators, study sites, and sponsors to manage timelines and compliance. Collects and verifies data to maintain integrity and audit readiness. Contributes to reports and publications that summarize study results."
Psychology / Counselling,healthcare_biosciences,"counselling skills; active listening; empathy; case formulation; assessment tools; report writing; confidentiality; ethics; crisis intervention; group facilitation; psychoeducation; treatment planning; referral management; supervision participation","Provides psychological support and counselling to individuals, couples, or groups. Conducts assessments to understand client concerns, strengths, and contexts. Uses evidence based techniques to help clients cope with challenges and pursue goals. Maintains clear boundaries, confidentiality, and documentation in line with ethical codes. Collaborates with other professionals or services when needed to support client wellbeing."
Health Data Specialist,healthcare_biosciences,"healthcare data standards; ICD coding basics; HL7; FHIR; EHR systems; SQL; data cleaning; data integration; reporting; dashboards; privacy and security awareness; HIPAA awareness; analytics; visualization; stakeholder communication","Works with health related data to support clinical, operational, or policy decisions. Integrates data from electronic health records, billing, surveys, or registries into usable datasets. Ensures data quality and compliance with privacy regulations. Builds reports and dashboards that highlight trends and outcomes. Collaborates with clinicians, administrators, and analysts to answer questions and improve care delivery."
Academic Research,education_training,"literature review; academic writing; hypothesis formulation; research design; qualitative methods; quantitative methods; survey design; data collection; statistical analysis; citation management; LaTeX or word processing; conference presentations; peer review process; grant writing basics","Conducts original research to generate new knowledge in a specific discipline. Reviews existing literature to identify gaps and refine questions. Designs studies, collects and analyzes data, and interprets findings in context. Writes manuscripts, theses, or reports and presents results at conferences or seminars. Seeks funding and collaborates with supervisors, peers, and students as part of scholarly communities."
